county,tract_code,population,total_units,"1-unit, detached","1-unit, attached",total_units_age,Built 2010-2019,Built 2020 or later,Built 1939 or earlier,single_family_units,multifamily_units,pct_single_family,pct_built_2010_plus,pct_built_pre1970,median_income,land_area_m2,population_density,urban_class
453,002219,6591,2083,1211,36,2083,471,109,56,1247,836,59.86557849255881,27.84445511281805,2.688430148823812,83553,106412050,160.42064784956216,OUTER_SUBURBAN
453,002220,3342,947,194,0,947,93,0,0,194,753,20.4857444561774,9.820485744456176,0.0,47027,5073789,1705.9794957969282,OUTER_SUBURBAN
453,002221,2167,821,184,0,821,92,0,0,184,637,22.41169305724726,11.20584652862363,0.0,88500,5079783,1104.8759366295765,OUTER_SUBURBAN
453,002222,3138,1127,773,0,1127,175,0,0,773,354,68.58917480035493,15.527950310559005,0.0,58405,2608468,3115.782903988088,INNER_SUBURBAN
453,002304,3850,2959,40,34,2959,1623,65,0,74,2885,2.5008448800270364,57.046299425481585,0.0,101058,1238152,8053.534622566534,INNER_SUBURBAN
453,002307,4844,2881,425,387,2881,285,3,0,812,2069,28.184658104824713,9.996528982992018,0.0,54338,2119483,5919.349199781267,INNER_SUBURBAN
453,002310,2858,1022,341,48,1022,45,0,4,389,633,38.06262230919765,4.403131115459883,0.3913894324853229,56214,17977837,411.7414124958414,OUTER_SUBURBAN
453,002313,3730,2013,219,47,2013,86,0,22,266,1747,13.214108296075509,4.272230501738698,1.092896174863388,51175,2432026,3972.28483577067,INNER_SUBURBAN
453,002314,5527,3071,168,42,3071,717,16,40,210,2861,6.838163464669488,23.868446760013025,1.3025073266037122,61875,2481620,5768.381138127514,INNER_SUBURBAN
453,002315,2622,1654,88,73,1654,78,0,0,161,1493,9.73397823458283,4.71584038694075,0.0,47314,477837,14211.917453022685,URBAN_CORE
453,002316,4563,2445,29,0,2445,28,0,17,29,2416,1.1860940695296525,1.1451942740286298,0.6952965235173825,44300,700495,16871.16967287418,URBAN_CORE
453,002319,2340,0,0,0,0,0,0,0,0,0,,,,-666666666,713143,8498.435797588983,INNER_SUBURBAN
453,002320,3987,1616,792,4,1616,804,34,0,796,820,49.257425742574256,51.85643564356436,0.0,78093,2509823,4114.365833765967,INNER_SUBURBAN
453,002321,3837,1650,865,180,1650,526,19,0,1045,605,63.33333333333333,33.03030303030303,0.0,61184,1856428,5353.19980090798,INNER_SUBURBAN
453,002322,2254,1509,126,39,1509,172,40,46,165,1344,10.934393638170974,14.049039098740886,3.0483764082173623,65977,1230173,4745.560177308395,INNER_SUBURBAN
453,002323,4569,1691,454,143,1691,246,30,44,597,1094,35.304553518628026,16.321703134240096,2.6020106445890008,51091,2042338,5794.197630362849,INNER_SUBURBAN
453,002324,1247,619,0,0,619,59,0,0,0,619,0.0,9.531502423263328,0.0,-666666666,318534,10139.357180081248,URBAN_CORE
453,002325,4085,1571,502,285,1571,90,0,23,787,784,50.09548058561426,5.728835136855507,1.464035646085296,65179,1304414,8111.036833397986,INNER_SUBURBAN
453,002326,903,406,45,0,406,57,0,0,45,361,11.083743842364532,14.039408866995073,0.0,39444,715100,3270.549573486226,INNER_SUBURBAN
453,002327,4874,2317,263,0,2317,325,49,0,263,2054,11.350884764782046,16.14156236512732,0.0,25900,2424918,5205.809021171026,INNER_SUBURBAN
453,002403,2353,1204,634,194,1204,124,19,87,828,376,68.77076411960132,11.877076411960132,7.225913621262459,80539,2577163,2364.720430954503,OUTER_SUBURBAN
453,002407,8665,4312,1857,4,4312,2414,8,0,1861,2451,43.15862708719852,56.16883116883117,0.0,76875,15370043,1460.135797928477,OUTER_SUBURBAN
453,002409,3360,1551,1319,48,1551,252,0,0,1367,184,88.13668600902643,16.247582205029012,0.0,107589,1337667,6505.654994852979,INNER_SUBURBAN
453,002410,3816,1829,605,315,1829,78,0,0,920,909,50.30071077091307,4.264625478403499,0.0,61049,1211486,8158.113259253511,INNER_SUBURBAN
453,002411,5796,1695,781,127,1695,58,0,0,908,787,53.56932153392331,3.421828908554572,0.0,50347,3968010,3783.1658690376285,INNER_SUBURBAN
453,002412,5173,1484,1373,0,1484,76,56,24,1373,111,92.52021563342318,8.89487870619946,1.6172506738544474,78924,1389765,9640.529154209524,INNER_SUBURBAN
453,002413,3366,1157,254,301,1157,62,65,0,555,602,47.96888504753674,10.97666378565255,0.0,45733,1341870,6496.858861141541,INNER_SUBURBAN
453,002419,3927,1926,108,0,1926,243,0,58,108,1818,5.607476635514018,12.616822429906541,3.011422637590862,47378,1355523,7503.32528477938,INNER_SUBURBAN
453,002422,8141,3614,1944,197,3614,629,84,0,2141,1473,59.24183729939125,19.728832318760375,0.0,82326,4031630,5229.941735724757,INNER_SUBURBAN
453,002423,6261,3014,2626,162,3014,522,0,0,2788,226,92.5016589250166,17.319177173191772,0.0,110368,2621119,6186.666839620787,INNER_SUBURBAN
